t : Time (s)
A : Acceleration (m/s^2): X, Y, Z
G : Gyroscope    (rad/s): X, Y, Z
M : Magnetometer (uT): X, Y, Z

t	AX	AY	AZ	GX	GY	GZ	MX	MY	MZ
6.653780000000552	6.084	3.851	-2.21	4.265	-1.061	6.554	-13.2	-31.8	-18.0	
6.695590000000266	11.889	-0.737	-5.769	4.221	0.929	3.469	-28.5	-30.3	-13.2	
6.73834000000079	12.244	1.031	-2.797	-0.394	1.212	3.248	-39.6	-24.9	-7.8	
6.77448000000004	10.143	0.913	-0.288	-2.112	0.177	4.194	-46.8	-18.9	-4.5	
6.805020000000695	8.998	0.019	-1.164	-2.702	-0.056	5.841	-51.0	-5.7	-3.6	
6.845400000000154	7.953	-3.794	-2.168	-3.289	0.116	6.588	-51.9	2.1	-4.2	
6.885009999999966	6.991	-8.606	-1.606	-1.287	0.154	3.253	-50.7	11.1	-3.9	
6.92450000000008	8.299	-9.871	-0.199	0.162	-1.281	0.117	-49.5	18.9	-3.0	
6.964600000000246	6.87	-6.87	-2.999	0.166	-0.577	-0.646	-48.6	24.3	-2.1	
7.004460000000108	6.225	-3.811	-2.84	0.509	-0.519	-0.044	-48.0	27.0	-1.2	
7.044890000000123	5.621	-4.178	-3.329	1.294	0.07	-0.475	-48.3	27.9	-0.9	
7.0986000000002605	5.714	-4.532	-3.251	1.979	0.581	-0.725	-48.6	27.3	-0.9	
7.137970000000678	6.585	-4.962	-2.448	1.854	0.855	-0.399	-48.9	26.4	-2.4	
7.174130000000332	7.427	-6.89	-1.799	1.132	1.184	-1.456	-48.9	25.2	-3.9	
7.214390000000094	8.694	-5.208	-0.649	1.022	0.848	-1.143	-49.2	23.4	-6.6	
7.253240000000005	9.776	-4.487	0.508	0.346	0.407	-0.146	-43.2	18.3	-19.5	
7.29508000000078	9.183	-4.955	0.91	-0.0	0.292	0.134	-43.5	16.5	-21.0	
7.337860000000546	8.676	-5.23	1.154	0.18	0.14	0.126	-43.2	15.0	-22.8	
7.374120000000403	8.523	-5.641	1.118	0.193	0.054	-0.044	-43.2	14.7	-23.7	
7.404480000000149	8.258	-5.592	0.95	0.148	0.041	-0.051	-42.9	14.7	-25.5	
7.444520000000011	8.31	-5.432	0.792	0.034	-0.0	-0.075	-43.2	15.0	-25.2	
7.48450000000048	8.436	-5.188	0.522	0.027	-0.076	-0.178	-42.9	14.4	-25.2	
7.524110000000292	8.31	-5.131	0.164	-0.067	0.087	-0.219	-42.6	14.1	-24.9	
7.5640900000007605	8.624	-4.678	0.657	-0.06	0.307	0.068	-42.0	14.1	-24.6	
7.607730000000629	9.254	-5.015	1.024	0.177	-0.0	-0.176	-42.0	13.8	-24.9	
7.644350000000486	9.017	-4.97	0.78	0.341	-0.028	-0.416	-42.6	13.5	-25.2	
7.697630000000572	8.848	-4.753	0.797	0.291	0.018	-0.423	-42.6	13.2	-25.5	
7.7374900000004345	8.726	-4.649	0.867	0.402	-0.083	-0.696	-42.9	12.6	-25.5	
7.77368000000024	8.496	-4.197	1.03	0.81	-0.195	-1.098	-43.2	11.7	-25.5	
7.813780000000406	9.291	-3.282	1.297	0.512	-0.096	-0.538	-43.2	10.8	-25.5	
7.84375	9.106	-3.527	1.011	0.324	-0.033	-0.346	-44.1	6.9	-24.9	
7.895600000000741	9.088	-3.738	0.832	0.307	0.028	-0.418	-43.5	5.7	-24.3	
7.937350000000151	9.318	-3.694	1.06	0.314	-0.026	-0.494	-43.5	4.2	-24.6	
7.9734800000005635	9.337	-3.354	1.116	0.339	-0.104	-0.598	-44.1	4.2	-24.9	
8.004030000000057	9.13	-2.923	1.059	0.376	-0.056	-0.448	-44.1	3.0	-25.8	
8.055270000000746	9.334	-2.909	1.196	0.034	0.021	-0.146	-44.4	2.7	-25.2	
8.093810000000303	9.44	-2.853	1.227	-0.042	0.039	-0.048	-44.1	1.5	-24.3	
8.133670000000166	9.469	-2.757	1.25	-0.101	0.042	-0.085	-43.8	0.6	-24.0	
8.172849999999926	9.579	-2.456	1.312	-0.125	-0.0	-0.05	-43.5	-0.3	-23.4	
8.203640000000632	9.572	-2.387	1.333	-0.19	-0.0	0.082	-43.2	-0.9	-24.0	
8.243870000000243	9.471	-2.652	1.137	-0.216	-0.0	0.031	-43.5	-0.3	-24.0	
8.29718000000048	9.361	-2.646	1.181	0.026	-0.0	-0.081	-43.8	0.6	-24.0	
8.33755999999994	9.498	-2.735	1.32	0.061	-0.023	-0.11	-43.8	1.5	-24.0	
8.373170000000755	9.554	-2.509	1.266	0.176	-0.0	-0.123	-44.1	1.5	-24.6	
8.413300000000163	9.802	-2.512	1.359	0.306	-0.169	-0.271	-44.4	0.9	-24.6	
8.443240000000515	9.784	-2.441	1.193	0.194	-0.21	-0.221	-43.5	-0.6	-24.9	
8.495150000000649	9.565	-2.247	0.968	0.146	-0.102	-0.131	-43.5	-1.5	-24.3	
8.537049999999908	9.769	-2.329	1.228	0.377	-0.226	-0.365	-43.2	-2.1	-23.4	
8.573120000000017	9.915	-2.264	1.367	0.509	-0.36	-0.648	-43.8	-1.8	-23.1	
8.603970000000118	10.176	-1.956	1.531	0.827	-0.535	-0.894	-44.7	-2.7	-22.2	
8.64400999999998	11.089	-2.771	1.604	1.245	-1.038	-2.094	-44.7	-4.5	-22.5	
8.683560000000398	13.149	-4.197	2.225	1.781	-2.273	-5.772	-44.7	-7.8	-21.6	
8.734040000000277	12.819	-2.161	1.107	0.551	-3.424	-8.805	-43.2	-13.5	-18.6	
8.772460000000137	4.696	2.259	-4.461	-2.139	-2.233	-9.932	-39.9	-21.6	-15.0	
8.8092400000005	-3.152	5.626	-5.399	-5.28	0.425	-9.34	-24.0	-37.8	-10.2	
8.844030000000203	-3.024	7.184	2.319	-9.799	0.167	-6.0	-12.6	-40.8	-14.1	
8.894620000000032	-0.49	7.082	4.648	-8.812	1.133	-4.953	-0.6	-38.7	-21.9	
8.923310000000129	-2.264	6.616	3.81	-4.839	1.911	-4.409	15.3	-24.3	-38.1	
8.964050000000498	-6.344	0.706	5.687	-4.201	1.21	-5.358	19.8	-14.1	-42.6	
9.003360000000612	-6.352	-1.742	7.199	-5.429	0.968	-5.038	22.5	-3.9	-43.5	
9.043150000000423	-6.748	-0.117	10.793	-5.562	-0.092	-3.57	24.3	7.5	-42.0	
9.094880000000558	-7.082	1.599	10.341	-2.029	-0.261	-1.783	24.0	18.6	-38.7	
9.135990000000675	-5.614	0.388	11.258	-0.569	-0.748	0.508	22.5	26.7	-35.1	
9.172849999999926	-4.984	-3.187	9.606	0.231	-0.188	0.752	20.4	32.4	-32.1	
9.203130000000783	-4.301	-3.979	9.691	0.417	-0.463	0.415	18.9	34.5	-31.2	
9.243530000000646	-3.906	-3.338	9.507	0.493	-0.867	0.027	19.2	34.2	-32.1	
9.283300000000054	-4.213	-2.646	9.009	0.463	-0.86	-0.262	19.5	33.6	-33.0	
9.334380000000237	-4.707	-2.523	8.552	0.304	-0.563	-0.428	18.9	33.3	-34.8	
9.372800000000097	-4.953	-2.028	8.53	0.225	-0.251	-0.253	18.3	32.4	-35.4	
9.414400000000569	-5.102	-1.846	8.241	0.278	0.199	-0.027	17.4	31.8	-35.7	
